start_tow_lat,start_tow_lon
42.31887,-71.0348
42.31906,-71.0341
42.30271,-71.034
42.32691,-71.0332
42.28414,-71.0153
42.27817,-71.005
42.280506,-70.99853
42.36891,-70.9936
42.26752,-70.9905
42.33768,-70.9888
42.31863,-70.9843
42.325994,-70.956512
42.25771,-70.954
42.25786,-70.9531
42.27198,-70.9474
42.28826,-70.9365
42.27228,-70.913
42.27899,-70.9095
42.26729,-70.9088
42.27637,-70.9068
42.2824,-70.8963
42.29803,-70.8931
42.268,-70.8918
42.28328,-70.891
42.26769,-70.8855
42.2872,-70.8844
42.26646,-70.8832
42.28079,-70.8804
42.264679,-70.978045
